fish_id,name_english,alt_name,name_latin,swim,cm_max,uncare,breeding_difficulty,availability,school,tank_size_liter,temperature_min,temperature_max,agression,origin,region,isfish,phmin,phmax,more,family
405,Half-banded spiny eel,Zig Zag Eel,Macrognathus circumcinctus,1,20,2,4,1,1,215,24,27,2,"Sumatra, Malaysia, Thailand,",3,1,6,7.5,0,Mastacembelidae
406,Lesser spiny eel,,Macrognathus aculeatus,1,38,2,4,1,1,320,23,28,2,"Thailand, Laos, Cambodia, Vietnam,",3,1,6,7.5,0,Mastacembelidae
407,Freshwater sole,,Brachirus panoides,1,20,1,4,1,1,208,23,28,1,"Malay Peninsula, Thailand,",3,1,6,7.5,0,Soleidae
408,Freshwater needlefish,,Xenentodon cancila,2,35,1,4,1,3,320,19,30,2,"South Asia, Thailand,","4, 3",1,6.5,7.5,0,Belonidae
409,Javanese ricefish,,Oryzias javanicus,2,3.5,2,3,2,3,40,24,29,1,"Thailand, Sunda Islands",3,1,6,7.5,1,Adrianichthyidae
410,Daisy's Ricefish,,Oryzias woworae,2,3,2,2,2,3,35,23,27,1,"Muna Island,",3,1,7,8,1,Adrianichthyidae
411,Indian glassy fish,,Parambassis ranga,2,8,2,3,2,3,75,20,30,1,"South Asia, South East Asia","4, 3",1,6,7.5,0,Ambassidae
412,Amazon leaf fish,,Monocirrhus polyacanthus,2,9,2,4,1,1,115,23,29,2,South America,1,1,5,6.5,0,Polycentridae
413,Indonesian tigerfish,,Datnioides microlepis,2,50,1,4,1,1,680,20,28,2,"Malaysia, Sumatra, Borneo,",3,1,6.5,7.5,1,Datnioididae
417,Green spotted puffer,,Dichotomyctere nigroviridis,2,15,1,4,1,1,120,24,28,2,"South Asia, South East Asia","4, 3",1,7.5,8.5,0,Tetraodontidae
418,Humpback Puffer,,Pao palembangensis,1,20,2,4,2,1,120,24,28,3,South East Asia,3,1,6.5,7.5,0,Tetraodontidae
419,Red-tail dwarf puffer,Red-tailed Redeye Puffer,Carinotetraodon irrubesco,2,4.5,1,4,1,1,65,22,28,1,"Sumatra, Borneo,",3,1,6.5,7.5,0,Tetraodontidae
420,Golden puffer,Bronze Puffer,Auriglobus modestus,2,11,2,4,2,1,85,23,28,2,"Borneo,",3,1,6,7.5,0,Tetraodontidae
421,Figure Eight Puffer,,Tetraodon biocellatus,2,8,2,4,2,2,75,22,26,2,"Cambodia, Malaysia, Borneo,",3,1,6.5,7.5,0,Tetraodontidae
422,Dwarf pufferfish,Pea puffer,Carinotetraodon travancoricus,2,2.9,2,3,3,2,55,22,28,2,"India,",4,1,6.5,7.5,1,Tetraodontidae
423,Congo pufferfish,,Tetraodon miurus,1,15,1,4,1,1,100,24,28,3,Congo Basin,2,1,6,7.5,0,Tetraodontidae
424,Amazon puffer,,Colomesus asellus,2,12,1,4,2,3,100,22,28,2,"Brazil, Colombia, Peru, Ecuador,",1,1,6,7.5,0,Tetraodontidae
425,Black devil stingray,,Potamotrygon leopoldi,1,60,1,4,1,1,1650,20,29,3,"Brazil,",1,1,6,7.5,1,Potamotrygonidae
426,Black ghost knifefish,,Apteronotus albifrons,2,45,1,4,2,1,320,24,28,2,South America,1,1,6,8,0,Apteronotidae
427,Brown ghost knifefish,,Apteronotus leptorhynchus,2,40,1,4,1,1,320,24,29,2,"Colombia, Venezuela,",1,1,6.5,7.5,1,Apteronotidae
428,Glass knifefish,,Eigenmannia virescens,1,45,1,4,1,1,320,23,28,2,South America,1,1,6,7.5,0,Sternopygidae
429,Freshwater blenny,,Salaria fluviatilis,1,15,1,4,1,1,95,12,20,2,"Europe, North Africa","7, 2",1,7,8,0,Blenniidae
430,Brook stickleback,,Culaea inconstans,2,4.5,1,4,1,1,75,10,20,3,"United States, Canada,",8,1,6.5,8,1,Gasterosteidae
431,European Perch,,Perca fluviatilis,2,50,2,3,1,1,230,10,22,3,Europe,7,1,6.5,8,1,Percidae
432,Banded darter,,Etheostoma zonale,1,7.8,1,4,1,1,100,15,21,1,United States,8,1,6.5,8,1,Percidae
433,Gilt darter,,Percina evides,1,9,1,4,1,1,110,15,21,1,United States,8,1,6.5,7.5,0,Percidae
434,Orangethroat darter,,Etheostoma spectabile,1,7,1,4,1,1,95,15,20,1,United States,8,1,6,8,0,Percidae
435,Rainbow darter,,Etheostoma caeruleum,1,7,2,3,1,1,95,10,18,1,United States,8,1,6.5,8,0,Percidae
437,Red rainbowfish,,Glossolepis incisus,2,14,3,3,3,3,130,22,25,1,"New Guinea,",3,1,7,8.5,0,Melanotaeniidae
